id_str	"created_at"	"user_screen_name"	user_id_str	"user_name"	"user_profile_image_url"	"text"	rts	"source"	"iso_language_code"	in_reply_to_user_id_str	in_reply_to_status_id_str	"in_reply_to_screen_name"	"entities_hashtags_text"
537631326208524288	"2014-11-26 15:37:51"	"JimGrossmanAHA"	2162998004	"James Grossman"	"http://pbs.twimg.com/profile_images/378800000667891782/44d7b181c077bf16ab07b242f7ad81b9_normal.png"	"Understanding #Ferguson: Race,Power,Protest, 
&amp; the Past:Tom Sugrue,Jelani Cobb,Colin Gordon,Khalil Muhammad, Heather Thompson at #AHA2015"	0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	"en"	0	0	""	"Ferguson||AHA2015"
537648636105330689	"2014-11-26 16:46:38"	"dlondongc"	462885794	"Daniel London"	"http://pbs.twimg.com/profile_images/378800000242402726/d3c72f8ad4772417c55321fdc2f2bf67_normal.jpeg"	"RT @JimGrossmanAHA: Understanding #Ferguson: Race,Power,Protest, 
&amp; the Past:Tom Sugrue,Jelani Cobb,Colin Gordon,Khalil Muhammad, Heather Thompson at #AHA2015"	1	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	"en"	0	0	""	"Ferguson||AHA2015"
537641071845847040	"2014-11-26 16:16:35"	"afroshedoc"	358296538	"Dara Walker"	"http://pbs.twimg.com/profile_images/2917077432/0908f8eccd6b4959d2a48a2c29cd8ff2_normal.jpeg"	"RT @JimGrossmanAHA: Understanding #Ferguson: Race,Power,Protest, 
&amp; the Past:Tom Sugrue,Jelani Cobb,Colin Gordon,Khalil Muhammad, Heather Thompson at #AHA2015"	1	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	"en"	0	0	""	"Ferguson||AHA2015"
537638603040772096	"2014-11-26 16:06:46"	"BSpadaccini11"	2658272270	"Bruce Spadaccini"	"http://pbs.twimg.com/profile_images/503192128688619521/12rHm3uN_normal.jpeg"	"RT @JimGrossmanAHA: Understanding #Ferguson: Race,Power,Protest, 
&amp; the Past:Tom Sugrue,Jelani Cobb,Colin Gordon,Khalil Muhammad, Heather Thompson at #AHA2015"	1	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	"en"	0	0	""	"Ferguson||AHA2015"
537636535495979009	"2014-11-26 15:58:33"	"PennHistory"	1670759264	"Penn History"	"http://pbs.twimg.com/profile_images/378800000297395927/c8d38ebe614b76a53e4d5fbd37087d92_normal.png"	"RT @JimGrossmanAHA: Understanding #Ferguson: Race,Power,Protest, 
&amp; the Past:Tom Sugrue,Jelani Cobb,Colin Gordon,Khalil Muhammad, Heather Thompson at #AHA2015"	1	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	"en"	0	0	""	"Ferguson||AHA2015"
537636308563132417	"2014-11-26 15:57:39"	"TomSugrue"	41576217	"Tom Sugrue"	"http://pbs.twimg.com/profile_images/1760241372/image_normal.jpg"	"RT @JimGrossmanAHA: Understanding #Ferguson: Race,Power,Protest, 
&amp; the Past:Tom Sugrue,Jelani Cobb,Colin Gordon,Khalil Muhammad, Heather Thompson at #AHA2015"	1	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	"en"	0	0	""	"Ferguson||AHA2015"
537635105498750976	"2014-11-26 15:52:52"	"IUBHistory"	2897873870	"IU History (B'ton)"	"http://pbs.twimg.com/profile_images/532652457810079744/6Jt4gSFK_normal.jpeg"	"RT @JimGrossmanAHA: Understanding #Ferguson: Race,Power,Protest, 
&amp; the Past:Tom Sugrue,Jelani Cobb,Colin Gordon,Khalil Muhammad, Heather Thompson at #AHA2015"	1	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	"en"	0	0	""	"Ferguson||AHA2015"
537634648575471617	"2014-11-26 15:51:03"	"lmacthompson1"	80855730	"Lauren M. Thompson"	"http://pbs.twimg.com/profile_images/531140189964349441/n1XlSQs7_normal.jpeg"	"RT @monicalmercado: via @JimGrossman: #aha2015 to address #Ferguson w/ @TomSugrue @hthompsn @jelani9 @KhalilGMuhammad @ColinGordon6 https://t.co/LRnlNAPWl2"	1	"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"	"en"	0	0	""	"aha2015||Ferguson"
537634292206415872	"2014-11-26 15:49:38"	"bgoldst"	27812762	"Brian Goldstein"	"http://pbs.twimg.com/profile_images/1393578790/Banana_normal.jpg"	"RT @monicalmercado: via @JimGrossman: #aha2015 to address #Ferguson w/ @TomSugrue @hthompsn @jelani9 @KhalilGMuhammad @ColinGordon6 https://t.co/LRnlNAPWl2"	1	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	"en"	0	0	""	"aha2015||Ferguson"
537632928151666688	"2014-11-26 15:44:13"	"hthompsn"	41430206	"Heather Ann Thompson"	"http://pbs.twimg.com/profile_images/536725908988903424/d7MvK4R2_normal.jpeg"	"RT @monicalmercado: via @JimGrossman: #aha2015 to address #Ferguson w/ @TomSugrue @hthompsn @jelani9 @KhalilGMuhammad @ColinGordon6 https://t.co/LRnlNAPWl2"	1	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	"en"	0	0	""	"aha2015||Ferguson"
